,STflg,tradeDate
0,SST,2010-01-04
1,SST,2010-01-05
2,SST,2010-01-06
3,SST,2010-01-07
4,SST,2010-01-08
5,SST,2010-01-11
6,SST,2010-01-12
7,SST,2010-01-13
8,SST,2010-01-14
9,SST,2010-01-15
10,SST,2010-01-18
11,SST,2010-01-19
12,SST,2010-01-20
13,SST,2010-01-21
14,SST,2010-01-22
15,SST,2010-01-25
16,SST,2010-01-26
17,SST,2010-01-27
18,SST,2010-01-28
19,SST,2010-01-29
20,SST,2010-02-01
21,SST,2010-02-02
22,SST,2010-02-03
23,SST,2010-02-04
24,SST,2010-02-05
25,SST,2010-02-08
26,SST,2010-02-09
27,SST,2010-02-10
28,SST,2010-02-11
29,SST,2010-02-12
30,SST,2010-02-22
31,SST,2010-02-23
32,SST,2010-02-24
33,SST,2010-02-25
34,SST,2010-02-26
35,SST,2010-03-01
36,SST,2010-03-02
37,SST,2010-03-03
38,SST,2010-03-04
39,SST,2010-03-05
40,SST,2010-03-08
41,SST,2010-03-09
42,SST,2010-03-10
43,SST,2010-03-11
44,SST,2010-03-12
45,SST,2010-03-15
46,SST,2010-03-16
47,SST,2010-03-17
48,SST,2010-03-18
49,SST,2010-03-19
50,SST,2010-03-22
51,SST,2010-03-23
52,SST,2010-03-24
53,SST,2010-03-25
54,SST,2010-03-26
55,SST,2010-03-29
56,SST,2010-03-30
57,SST,2010-03-31
58,SST,2010-04-01
59,SST,2010-04-02
60,SST,2010-04-06
61,SST,2010-04-07
62,SST,2010-04-08
63,SST,2010-04-09
64,SST,2010-04-12
65,SST,2010-04-13
66,SST,2010-04-14
67,SST,2010-04-15
68,SST,2010-04-16
69,SST,2010-04-19
70,SST,2010-04-20
71,SST,2010-04-21
72,SST,2010-04-22
73,SST,2010-04-23
74,SST,2010-04-26
75,SST,2010-04-27
76,SST,2010-04-28
77,SST,2010-04-29
78,SST,2010-04-30
79,SST,2010-05-04
80,SST,2010-05-05
81,SST,2010-05-06
82,SST,2010-05-07
83,SST,2010-05-10
84,SST,2010-05-11
85,SST,2010-05-12
86,SST,2010-05-13
87,SST,2010-05-14
88,SST,2010-05-17
89,SST,2010-05-18
90,SST,2010-05-19
91,SST,2010-05-20
92,SST,2010-05-21
93,SST,2010-05-24
94,SST,2010-05-25
95,SST,2010-05-26
96,SST,2010-05-27
97,SST,2010-05-28
98,SST,2010-05-31
99,SST,2010-06-01
100,SST,2010-06-02
101,SST,2010-06-03
102,SST,2010-06-04
103,SST,2010-06-07
104,SST,2010-06-08
105,SST,2010-06-09
106,SST,2010-06-10
107,SST,2010-06-11
108,SST,2010-06-17
109,SST,2010-06-18
110,SST,2010-06-21
111,SST,2010-06-22
112,SST,2010-06-23
113,SST,2010-06-24
114,SST,2010-06-25
115,SST,2010-06-28
116,SST,2010-06-29
117,SST,2010-06-30
118,SST,2010-07-01
119,SST,2010-07-02
120,SST,2010-07-05
121,SST,2010-07-06
122,SST,2010-07-07
123,SST,2010-07-08
124,SST,2010-07-09
125,SST,2010-07-12
126,SST,2010-07-13
127,SST,2010-07-14
128,SST,2010-07-15
129,SST,2010-07-16
130,SST,2010-07-19
131,SST,2010-07-20
132,SST,2010-07-21
133,SST,2010-07-22
134,SST,2010-07-23
135,SST,2010-07-26
136,SST,2010-07-27
137,SST,2010-07-28
138,SST,2010-07-29
139,SST,2010-07-30
140,SST,2010-08-02
141,SST,2010-08-03
142,SST,2010-08-04
143,SST,2010-08-05
144,SST,2010-08-06
145,SST,2010-08-09
146,SST,2010-08-10
147,SST,2010-08-11
148,SST,2010-08-12
149,SST,2010-08-13
150,SST,2010-08-16
151,SST,2010-08-17
152,SST,2010-08-18
153,SST,2010-08-19
154,SST,2010-08-20
155,SST,2010-08-23
156,SST,2010-08-24
157,SST,2010-08-25
158,SST,2010-08-26
159,SST,2010-08-27
160,SST,2010-08-30
161,SST,2010-08-31
162,SST,2010-09-01
163,SST,2010-09-02
164,SST,2010-09-03
165,SST,2010-09-06
166,SST,2010-09-07
167,SST,2010-09-08
168,SST,2010-09-09
169,SST,2010-09-10
170,SST,2010-09-13
171,SST,2010-09-14
172,SST,2010-09-15
173,SST,2010-09-16
174,SST,2010-09-17
175,SST,2010-09-20
176,SST,2010-09-21
177,SST,2010-09-27
178,SST,2010-09-28
179,SST,2010-09-29
180,SST,2010-09-30
181,SST,2010-10-08
182,SST,2010-10-11
183,SST,2010-10-12
184,SST,2010-10-13
185,SST,2010-10-14
186,SST,2010-10-15
187,SST,2010-10-18
188,SST,2010-10-19
189,SST,2010-10-20
190,SST,2010-10-21
191,SST,2010-10-22
192,SST,2010-10-25
193,SST,2010-10-26
194,SST,2010-10-27
195,SST,2010-10-28
196,SST,2010-10-29
197,SST,2010-11-01
198,SST,2010-11-02
199,SST,2010-11-03
200,SST,2010-11-04
201,SST,2010-11-05
202,SST,2010-11-08
203,SST,2010-11-09
204,SST,2010-11-10
205,SST,2010-11-11
206,SST,2010-11-12
207,SST,2010-11-15
208,SST,2010-11-16
209,SST,2010-11-17
210,SST,2010-11-18
211,SST,2010-11-19
212,SST,2010-11-22
213,SST,2010-11-23
214,SST,2010-11-24
215,SST,2010-11-25
216,SST,2010-11-26
217,SST,2010-11-29
218,SST,2010-11-30
219,SST,2010-12-01
220,SST,2010-12-02
221,SST,2010-12-03
222,SST,2010-12-06
223,SST,2010-12-07
224,SST,2010-12-08
225,SST,2010-12-09
226,SST,2010-12-10
227,SST,2010-12-13
228,SST,2010-12-14
229,SST,2010-12-15
230,SST,2010-12-16
231,SST,2010-12-17
232,SST,2010-12-20
233,SST,2010-12-21
234,SST,2010-12-22
235,SST,2010-12-23
236,SST,2010-12-24
237,SST,2010-12-27
238,SST,2010-12-28
239,SST,2010-12-29
240,SST,2010-12-30
241,SST,2010-12-31
242,SST,2011-01-04
243,SST,2011-01-05
244,SST,2011-01-06
245,SST,2011-01-07
246,SST,2011-01-10
247,SST,2011-01-11
248,SST,2011-01-12
249,SST,2011-01-13
250,SST,2011-01-14
251,SST,2011-01-17
252,SST,2011-01-18
253,SST,2011-01-19
254,SST,2011-01-20
255,SST,2011-01-21
256,SST,2011-01-24
257,SST,2011-01-25
258,SST,2011-01-26
259,SST,2011-01-27
260,SST,2011-01-28
261,SST,2011-01-31
262,SST,2011-02-01
263,SST,2011-02-09
264,SST,2011-02-10
265,SST,2011-02-11
266,SST,2011-02-14
267,SST,2011-02-15
268,SST,2011-02-16
269,SST,2011-02-17
270,SST,2011-02-18
271,SST,2011-02-21
272,SST,2011-02-22
273,SST,2011-02-23
274,SST,2011-02-24
275,SST,2011-02-25
276,SST,2011-02-28
277,ST,2011-03-01
278,ST,2011-03-02
279,ST,2011-03-03
280,ST,2011-03-04
281,ST,2011-03-07
282,ST,2011-03-08
283,ST,2011-03-09
284,ST,2011-03-10
