,STflg,tradeDate
0,*ST,2012-04-27
1,*ST,2012-05-02
2,*ST,2012-05-03
3,*ST,2012-05-04
4,*ST,2012-05-07
5,*ST,2012-05-08
6,*ST,2012-05-09
7,*ST,2012-05-10
8,*ST,2012-05-11
9,*ST,2012-05-14
10,*ST,2012-05-15
11,*ST,2012-05-16
12,*ST,2012-05-17
13,*ST,2012-05-18
14,*ST,2012-05-21
15,*ST,2012-05-22
16,*ST,2012-05-23
17,*ST,2012-05-24
18,*ST,2012-05-25
19,*ST,2012-05-28
20,*ST,2012-05-29
21,*ST,2012-05-30
22,*ST,2012-05-31
23,*ST,2012-06-01
24,*ST,2012-06-04
25,*ST,2012-06-05
26,*ST,2012-06-06
27,*ST,2012-06-07
28,*ST,2012-06-08
29,*ST,2012-06-11
30,*ST,2012-06-12
31,*ST,2012-06-13
32,*ST,2012-06-14
33,*ST,2012-06-15
34,*ST,2012-06-18
35,*ST,2012-06-19
36,*ST,2012-06-20
37,*ST,2012-06-21
38,*ST,2012-06-25
39,*ST,2012-06-26
40,*ST,2012-06-27
41,*ST,2012-06-28
42,*ST,2012-06-29
43,*ST,2012-07-02
44,*ST,2012-07-03
45,*ST,2012-07-04
46,*ST,2012-07-05
47,*ST,2012-07-06
48,*ST,2012-07-09
49,*ST,2012-07-10
50,*ST,2012-07-11
51,*ST,2012-07-12
52,*ST,2012-07-13
53,*ST,2012-07-16
54,*ST,2012-07-17
55,*ST,2012-07-18
56,*ST,2012-07-19
57,*ST,2012-07-20
58,*ST,2012-07-23
59,*ST,2012-07-24
60,*ST,2012-07-25
61,*ST,2012-07-26
62,*ST,2012-07-27
63,*ST,2012-07-30
64,*ST,2012-07-31
65,*ST,2012-08-01
66,*ST,2012-08-02
67,*ST,2012-08-03
68,*ST,2012-08-06
69,*ST,2012-08-07
70,*ST,2012-08-08
71,*ST,2012-08-09
72,*ST,2012-08-10
73,*ST,2012-08-13
74,*ST,2012-08-14
75,*ST,2012-08-15
76,*ST,2012-08-16
77,*ST,2012-08-17
78,*ST,2012-08-20
79,*ST,2012-08-21
80,*ST,2012-08-22
81,*ST,2012-08-23
82,*ST,2012-08-24
83,*ST,2012-08-27
84,*ST,2012-08-28
85,*ST,2012-08-29
86,*ST,2012-08-30
87,*ST,2012-08-31
88,*ST,2012-09-03
89,*ST,2012-09-04
90,*ST,2012-09-05
91,*ST,2012-09-06
92,*ST,2012-09-07
93,*ST,2012-09-10
94,*ST,2012-09-11
95,*ST,2012-09-12
96,*ST,2012-09-13
97,*ST,2012-09-14
98,*ST,2012-09-17
99,*ST,2012-09-18
100,*ST,2012-09-19
101,*ST,2012-09-20
102,*ST,2012-09-21
